Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
balanced,293.9127948621711,92,316,15.696110726336142,14.404363380903055,36.8
bipartite_pf,308.3953063677748,214,72,15.786146113620728,14.330800177004773,85.6
blossom,306.9238737824179,214,72,15.831578786842499,13.903521315337223,85.6
static,297.9572281376114,110,280,16.449202219366367,14.288406087689724,44.0
