User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,Throughput_Mbps
261,48,3.652139391690159e-06,3.000481374950181e-05,0.9937809561138218,0.006219043886178222,7.267326045071327,7.551525657388423,14.81885170245975,NOMA,1.0777346692698
388,293,8.015202639681665e-06,5.533524691108746e-05,0.9955272645641167,0.004472735435883335,7.765115212907674,7.9571015754444225,15.722216788352096,NOMA,1.1434339482437887
353,294,1.0894686662192698e-05,9.590726362665644e-05,0.9965812919289471,0.003418708071052934,8.15424184369261,8.361412800364429,16.515654644057037,NOMA,1.2011385195677844
494,47,1.2497459038670752e-05,0.0001301459028587582,0.9970752521307524,0.002924747869247568,8.378647971120005,8.576083518855992,16.954731489975998,NOMA,1.2330713810891636
77,431,7.131790847373912e-06,4.503610385211279e-05,0.9950741607112381,0.004925839288761891,7.625123387128571,7.799868358590261,15.424991745718831,NOMA,1.1218175815068239
165,421,9.695079411510478e-06,7.730571762719764e-05,0.9962351513862149,0.003764848613785121,8.01434763127043,8.190043534704056,16.204391165974485,NOMA,1.1785011757072352
395,91,6.054191379314004e-06,3.929073591925687e-05,0.994702769556213,0.005297230443787049,7.516486206917213,7.70827058919788,15.224756796115093,NOMA,1.1072550397174612
391,432,3.1499934325747942e-06,2.6491515069058003e-05,0.99336870860987,0.0066312913901299675,7.16948824243941,7.4649374060352,14.634425648474611,NOMA,1.064321865343608
296,430,8.353157427063867e-06,5.840482465641312e-05,0.9956750842231898,0.0043249157768101565,7.813893341674998,7.986387881519896,15.800281223194894,NOMA,1.149111361686901
206,368,6.655916473673519e-06,4.3443791715464235e-05,0.9949419467887987,0.005058053211201341,7.585189723197229,7.78621087424493,15.37140059744216,NOMA,1.1179200434503387
242,495,1.4994472201939494e-05,0.00027364415131394805,0.997940603487583,0.0020593965124170444,8.877679349982436,9.140936623006048,18.018615972988485,NOMA,1.310444798035526
392,461,6.604173856933054e-07,2.2902820114957894e-05,0.9911031893454769,0.00889681065452308,6.587929772236673,7.677804573309982,14.265734345546655,NOMA,1.037507952403393
159,174,3.617510344586502e-06,2.9849946622173146e-05,0.9937809561138218,0.006219043886178222,7.266747541906244,7.544099932234724,14.810847474140967,NOMA,1.0771525435738885
406,97,1.5396586774791018e-05,0.00042034848596646636,0.9982867440303151,0.001713255969684857,9.135455980547466,9.49418467616112,18.629640656708588,NOMA,1.3548829568515337
72,352,2.6965777469890496e-06,2.5276387205101197e-05,0.9931295313772843,0.006870468622715675,7.110068673800048,7.448410599127297,14.558479272927345,NOMA,1.0587984925765341
441,216,5.70819539244268e-06,3.777243703696212e-05,0.9945958062460665,0.005404193753933528,7.485932068548929,7.6803916531859615,15.16632372173489,NOMA,1.1030053615807192
299,68,3.5624317724058364e-06,2.931073528043563e-05,0.9937148491526022,0.00628515084739778,7.2512056584601305,7.5331147152826015,14.784320373742732,NOMA,1.0752232999085622
