User1_ID,User2_ID,h1_linear,h2_linear,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Throughput_Mbps,Method
25,661,5.706295116325042e-06,3.702318419892003e-05,0.86645530889282,0.13354469110718004,2.9029663265846835,12.271827652656615,15.174793979241299,0.28497265688716056,GNN
119,817,1.4860991055776772e-05,9.99031569381025e-05,0.870508418216381,0.129491581783619,2.948417357904503,13.659284380198935,16.607701738103437,0.3118817227812852,GNN
315,1546,1.5344084049451135e-06,1.7992022460812913e-05,0.9214189005920235,0.07858109940797657,3.658698027729664,10.466415962752375,14.125113990482038,0.2652603566287707,GNN
1677,1330,1.7331823634010695e-05,0.000110357858703,0.8642660603676114,0.1357339396323887,2.8806167014555735,13.870779562993343,16.751396264448918,0.31458021153894683,GNN
350,201,4.235866230700897e-06,2.9017302036991416e-05,0.8726176646808019,0.127382335319198,2.9704321290044824,11.852253154222097,14.82268528322658,0.2783602870089499,GNN
1750,1171,1.6518217872769542e-05,0.0001730390676189,0.912858965932515,0.08714103406748493,3.5195893625008243,13.880329988553324,17.399919351054148,0.3267590488460873,GNN
297,1516,1.2495726651377295e-05,8.219822917919918e-05,0.8680409267753662,0.131959073224634,2.921078328904546,13.405115149563597,16.32619347846814,0.3065951826942374,GNN
1289,1352,3.919201708893561e-06,3.2778156480642344e-05,0.8932020749654098,0.10679792503459022,3.223969866557896,11.77381468268173,14.997784549239626,0.2816485361359554,GNN
1640,1448,6.996755477346789e-06,4.435037060754192e-05,0.8637361813438297,0.13626381865617032,2.8742193221965593,12.561371692040522,15.435591014237081,0.2898702537884898,GNN
1824,1129,1.6345905754468322e-05,0.0001934950166972,0.9221033458893929,0.07789665411060703,3.6812504865389317,13.879737770879323,17.560988257418256,0.3297838170407184,GNN
585,1245,3.5274340127837422e-06,2.298880114485693e-05,0.8669707825483924,0.13302921745160756,2.9075227003988298,11.578930331200873,14.486453031599702,0.27204606632112116,GNN
710,373,1.3303528361152323e-05,8.416442570803866e-05,0.8635086938245533,0.13649130617544672,2.8724331764403277,13.487929496024288,16.360362672464614,0.307236857698866,GNN
360,879,6.82589512359486e-06,4.308230992752495e-05,0.8632310034672004,0.13676899653279967,2.868853681085177,12.524865941475877,15.393719622561054,0.2890839365739165,GNN
1486,87,8.364818333063512e-06,5.316711863819658e-05,0.8640572888682101,0.13594271113178988,2.877833604488547,12.819516960387555,15.697350564876102,0.29478592610095966,GNN
