User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
0,-2235.2549307213244,-1445.1693526788204,2661.7436133549963,3.715527787149405,86.55969467160122,2.208159971060533e-09,-1.4260960375871423,1.1459084777076054,6.345560669871139e-05,-83.95059984806224
1,-3780.4059905430604,-1923.4983220449024,4241.617055822391,3.6122612854404137,94.13063957293564,3.863100820951517e-10,-12.054271500360013,0.5021846654104952,3.954076281781954e-05,-88.05909891154444
2,-4210.198894806801,-410.2553651408083,4230.139973861294,3.238729211737743,94.41080158970895,3.621761443634739e-10,3.249825131116905,0.3780554823294006,4.949076925472253e-06,-106.10951415943595
3,-574.8167907019007,-2851.430256854755,2908.79164818995,4.513466065639989,95.88927496377093,2.5767512988036487e-10,-2.71609595979192,1.8827228136530014,4.13168720223267e-05,-87.67745109083972
4,-2784.4937107340957,-3575.6538111084246,4531.964850041529,4.050748456836845,95.07675835174403,3.106877749527687e-10,-7.5622581713068096,0.14493026028921085,6.1014641402185174e-06,-104.29131731319907
5,779.8704751871057,-1522.3123964210818,1710.4481840634223,5.185822811220427,88.74364700347006,1.335473576815556e-09,8.105016338731657,1.7604996325263296,2.5304791987959976e-05,-91.93594422385503
6,-2015.5991361670826,-872.9999335862179,2196.5356272455565,3.5503223803195234,89.8831272226595,1.027276321262693e-09,7.286248027830761,0.6764852104018991,9.371077806916204e-06,-100.5642081973533
7,-1720.6743175094164,4461.281905322572,4781.606042502362,1.9389064451288531,97.32836013352772,1.8499670220987214e-10,8.737008547168747,0.5236642426495016,2.604860594726267e-06,-111.6843069462796
8,2190.1665626941276,-2573.122388860807,3379.0218111755594,5.417562343845847,95.93499816188593,2.549765166965244e-10,-5.319370709997397,0.7854899786551847,2.3139782687763444e-05,-92.71281410357977
9,1351.407642785677,1332.557554093539,1897.8967969706084,0.7783750549040473,85.45380627767757,2.8485206504179125e-09,-11.0969946179615,0.9978864652898379,0.00019109113905703745,-74.37518897093946
10,-1168.5037692626483,4194.659419501491,4354.373514570564,1.8424779453220637,93.62831045010203,4.336795613390203e-10,3.8110792780726412,1.3077714679158137,1.7561530875211365e-05,-95.10875207391229
11,-2448.545693940586,-3893.6837804561865,4599.581437207365,4.15102542752158,97.46067475525595,1.7944548040688928e-10,-11.283566854921071,0.7747333841365267,3.804493755362961e-05,-88.39406225983537
12,-1685.1619895912695,859.6837259155812,1891.7788030759045,2.669858837874153,88.25455905669374,1.494665789497939e-09,-4.4634043421516845,0.35284285961568373,2.2804659779778867e-05,-92.83952767044804
13,2905.024874715046,2807.9114926437132,4040.23965542068,0.7684009445502471,90.53500106034477,8.84096953345187e-10,10.078801034720836,1.1654723027549836,1.0859550576151723e-05,-99.28376215428722
14,1410.5214260262637,-1441.3543432687788,2016.6985486529557,5.486976113255742,89.15691670438576,1.2142506078775572e-09,12.071325416512604,0.6084942575279823,5.2825592640869755e-06,-105.5431107952673
15,-1726.758709728383,-937.9932137884588,1965.0768205686088,3.639208145640716,87.98296681324825,1.5911214065762108e-09,-3.7903358632362956,0.33801719516910983,2.0859660998708877e-05,-93.61385465959424
16,-2509.645665449173,2487.0415487936293,3533.2275657723544,2.3607182799536113,87.24072957871559,1.8876742088450833e-09,-7.288908820664011,2.094048315466952,0.00021056959407698362,-73.53208676021671
17,-700.1961599337809,2212.2968883712942,2320.45947706124,1.8773228854996356,89.11527775155396,1.2259484950530141e-09,-14.122964577663836,1.124397602609142,0.00020012633971670143,-73.97391491143016
18,3938.3829516751775,-134.78777858048602,3940.688774732197,6.248974517647931,92.25589771194338,5.948537843142423e-10,-4.431068505784352,1.7254556310259437,7.009101285994625e-05,-83.08675315884088
19,-3329.2349024735145,-1304.9190603520992,3575.8381940347967,3.515146794595325,94.7588533446745,3.342832882381647e-10,-0.33878726702493417,1.345431283007411,2.5577507311673667e-05,-91.84283531067183
20,-309.4151888280806,-3125.568399536553,3140.8463157657056,4.613715620216185,93.99773254496056,3.983150769019247e-10,2.7626045124089416,1.105494914714105,1.6052397160418903e-05,-95.88920153305216
21,-1623.9927900642354,-2233.513069211576,2761.509227310228,4.083704083683986,91.0668035275186,7.822033061309002e-10,-1.7743884091123803,1.5500952021980208,5.317868772063269e-05,-85.48524751399447
22,3061.983246944405,-3930.057424562919,4982.077153650907,5.374267423261702,99.09084142202457,1.232865948991594e-10,-9.179948273053409,2.19011413110867,6.997164593824896e-05,-83.10155807763087
23,2901.425382635084,-1694.3458829620913,3359.9222047704816,5.754635835386738,87.43656614812157,1.8044439031542225e-09,-1.2318973066724337,1.029328588121062,5.038724262021476e-05,-85.95358797210775
24,1135.4873064035678,4311.078026581641,4458.107802002851,1.3132571861272606,95.86380147956586,2.5919096107381537e-10,4.774400134953155,2.086349234880727,1.938549639200535e-05,-94.25046102820687
25,3530.0914372485768,205.6619457471926,3536.0772603641235,0.05819388448577232,98.63201445338316,1.370246036918032e-10,4.210055657659672,0.3290281161573977,2.3720809479893694e-06,-112.49740623073538
26,1318.9266110260198,-3051.8393158266636,3324.6489461141514,5.120320622168898,91.21802678213128,7.554353819240504e-10,-5.936842654015663,0.686990031687032,3.740169023573947e-05,-88.542175187144
27,-3156.7446701839,1219.568156648398,3384.1370246261054,2.772919682171492,96.54645063118535,2.2149041500710302e-10,4.263582650068709,0.4355489409186024,3.967667754793605e-06,-108.0292918511747
28,2845.179526491559,-2393.2246559554,3717.8718094952624,5.583851224166015,89.49984232164036,1.1220591919231931e-09,-1.9654152877882551,0.33157914916936276,1.3927265703707504e-05,-97.12268215389321
29,-584.47169362374,-3468.576976936885,3517.4754307008347,4.545452433141982,97.69790101568319,1.6990646272791656e-10,0.7613922010830244,0.45239017154721556,5.4019243784505606e-06,-105.34902838798058
30,2498.8138697623394,2586.312444373488,3596.259558991509,0.8026032307694276,90.47784601422327,8.958089529379848e-10,4.464401566393429,1.0979789598303802,1.9655388799456952e-05,-94.13036677936111
31,4410.726047783276,2087.6126871892066,4879.818746665414,0.44206334809041836,90.79084329238759,8.335193200843515e-10,-19.017676267050348,0.7278968254127572,0.00018767718208481177,-74.53177047327331
32,-1021.732896472686,2752.3570021060477,2935.882691589815,1.9262498487687092,94.71953824489741,3.3732317197792754e-10,2.2489225731792457,1.059096010745261,1.5014548989647913e-05,-96.46975359556237
33,-1308.887353486709,2418.5326090689487,2749.9974700437992,2.066851010444341,89.81341213539876,1.043899732891417e-09,-1.6556469664539202,0.44709950526443726,1.7478973778740268e-05,-95.14968088596994
34,-1441.5440629181323,-812.6921070877383,1654.8467440392249,3.6549425537302347,91.29840521230796,7.41582510369598e-10,1.4984069284269579,1.3423476902685803,3.0762697350272465e-05,-90.23951146113359
35,3998.874576752221,-1570.5452574201934,4296.232103390169,5.9089472707735435,90.54230405357292,8.826115261110298e-10,4.627568240575359,0.8997173156254546,1.568962140708936e-05,-96.08775016394102
36,-219.16177268628428,-2423.605034334518,2433.494040481426,4.622206254576139,89.12802965253154,1.2223541033248137e-09,5.006951450425265,0.5648085058483234,1.1095635292876512e-05,-99.09695575135869
37,1452.5744265253354,687.5024063134923,1607.0569446296076,0.4420597737552669,81.47803558481849,7.115352848717198e-09,-2.8846767392805663,0.8376112230201985,9.848601054489065e-05,-80.13250900228792
38,3867.2648766246793,1887.5048606770692,4303.302478917147,0.4540599976289595,90.07714397044748,9.823937774515281e-10,10.91918578886014,0.6354303941378503,5.665672885043653e-06,-104.93496853984155
39,-2723.8112740748816,2970.1958395311362,4030.0386079968885,2.312950609573108,100.42506412975257,9.067625748469114e-11,-16.966850217464508,0.4473829575899273,3.0044760100630724e-05,-90.44462489814401
40,2720.1406228281694,2316.648254056609,3572.9573382540625,0.7054598227391411,91.66240427894276,6.819610521033264e-10,7.143830518496549,1.0338124774221549,1.1861238255786963e-05,-98.51739867502798
