Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
balanced,300.97293864428474,143,214,15.920367218251235,14.466142255096052,57.199999999999996
bipartite_pf,313.15459228554175,227,46,15.921038776204101,14.35835614128943,90.8
blossom,312.01689666440797,227,46,15.96859368108194,13.786084214425392,90.8
static,301.4686446086969,116,268,16.678608849268738,14.378654290939576,46.400000000000006
