User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,Throughput_Mbps
0,-1,2.6813489200032848e-05,0.0,1.0,0.0,14.710725150695842,0.0,14.710725150695842,OMA,0.7661836015987419
3,-1,3.64931616436286e-05,0.0,1.0,0.0,15.155378058843375,0.0,15.155378058843375,OMA,0.7893426072314258
4,-1,3.4537845422768845e-05,0.0,1.0,0.0,15.075932236281767,0.0,15.075932236281767,OMA,0.7852048039730087
6,-1,1.6965493848531717e-05,0.0,1.0,0.0,14.050400840131068,0.0,14.050400840131068,OMA,0.7317917104234932
11,-1,3.263412872746582e-05,0.0,1.0,0.0,14.99413810949366,0.0,14.99413810949366,OMA,0.7809446932027949
12,-1,3.8648670463025586e-05,0.0,1.0,0.0,15.238168492965146,0.0,15.238168492965146,OMA,0.7936546090086014
16,-1,1.4512369253550064e-05,0.0,1.0,0.0,13.825094856992061,0.0,13.825094856992061,OMA,0.7200570238016699
18,-1,1.1754735791234198e-05,0.0,1.0,0.0,13.521077219615984,0.0,13.521077219615984,OMA,0.7042227718549993
22,-1,2.1747527113090478e-05,0.0,1.0,0.0,14.408630079426112,0.0,14.408630079426112,OMA,0.7504494833034434
23,-1,4.299348669711469e-05,0.0,1.0,0.0,15.391864050417848,0.0,15.391864050417848,OMA,0.8016595859592629
25,-1,1.4525196164686886e-05,0.0,1.0,0.0,13.826369347296858,0.0,13.826369347296858,OMA,0.7201234035050448
27,-1,4.998601224450891e-05,0.0,1.0,0.0,15.609265678348319,0.0,15.609265678348319,OMA,0.8129825874139749
28,-1,1.8913678505316242e-05,0.0,1.0,0.0,14.207218634513122,0.0,14.207218634513122,OMA,0.7399593038808918
29,-1,3.896502235630816e-05,0.0,1.0,0.0,15.249929048554154,0.0,15.249929048554154,OMA,0.794267137945529
32,-1,3.060954895445293e-05,0.0,1.0,0.0,14.901741297226032,0.0,14.901741297226032,OMA,0.7761323592305225
33,-1,2.625255905649537e-05,0.0,1.0,0.0,14.680225394141651,0.0,14.680225394141651,OMA,0.7645950726115444
34,-1,2.1909259795806416e-05,0.0,1.0,0.0,14.419318970399695,0.0,14.419318970399695,OMA,0.7510061963749842
35,-1,2.819652759733224e-05,0.0,1.0,0.0,14.783281049994796,0.0,14.783281049994796,OMA,0.769962554687229
36,-1,4.8221715426858954e-05,0.0,1.0,0.0,15.55742527110712,0.0,15.55742527110712,OMA,0.8102825662034958
37,-1,4.207923231985235e-05,0.0,1.0,0.0,15.36085504914577,0.0,15.36085504914577,OMA,0.8000445338096754
38,-1,2.62255820918323e-05,0.0,1.0,0.0,14.678742184084891,0.0,14.678742184084891,OMA,0.7645178220877548
40,-1,1.8436765929444303e-05,0.0,1.0,0.0,14.170376237172919,0.0,14.170376237172919,OMA,0.7380404290194229
42,-1,3.858036297556098e-05,0.0,1.0,0.0,15.235616490363869,0.0,15.235616490363869,OMA,0.7935216922064515
43,-1,1.5596018016663917e-05,0.0,1.0,0.0,13.928982607111212,0.0,13.928982607111212,OMA,0.7254678441203757
44,-1,1.168438970264344e-05,0.0,1.0,0.0,13.512418227722055,0.0,13.512418227722055,OMA,0.7037717826938571
46,-1,2.0786890754418326e-05,0.0,1.0,0.0,14.343455761963407,0.0,14.343455761963407,OMA,0.7470549876022607
