Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
balanced,301.88965457164056,168,164,16.132337094078736,14.03131484197565,67.2
bipartite_pf,314.4538376696871,234,32,15.926646950072845,14.231270459056047,93.60000000000001
blossom,313.185333902725,234,32,15.971628506086446,13.375120952562934,93.60000000000001
static,301.1945609042209,121,258,16.760440789049944,14.262106952170319,48.4
