User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,Throughput_Mbps
3,-1,3.197136451979167e-05,0.0,1.0,0.0,14.964537822286387,0.0,14.964537822286387,OMA,0.9014781820654449
5,-1,4.1585566674813894e-05,0.0,1.0,0.0,15.34382996269,0.0,15.34382996269,OMA,0.9243271061861447
6,-1,3.8307025164660135e-05,0.0,1.0,0.0,15.225359034165656,0.0,15.225359034165656,OMA,0.9171903032629913
7,-1,3.285489684250053e-05,0.0,1.0,0.0,15.003864702363565,0.0,15.003864702363565,OMA,0.9038472712267208
15,-1,3.0873037104364226e-05,0.0,1.0,0.0,14.914106522354588,0.0,14.914106522354588,OMA,0.8984401519490716
21,-1,5.164104456697455e-05,0.0,1.0,0.0,15.656258499254264,0.0,15.656258499254264,OMA,0.9431481023647147
23,-1,4.930427679372802e-06,0.0,1.0,0.0,12.267789661036758,0.0,12.267789661036758,OMA,0.7390234735564313
24,-1,3.608672834915462e-05,0.0,1.0,0.0,15.139220710854508,0.0,15.139220710854508,OMA,0.9120012476418378
25,-1,5.814277306439241e-06,0.0,1.0,0.0,12.505632274139728,0.0,12.505632274139728,OMA,0.7533513418156462
26,-1,3.928176934357507e-05,0.0,1.0,0.0,15.261609019421217,0.0,15.261609019421217,OMA,0.9193740373145312
28,-1,8.597441841060491e-06,0.0,1.0,0.0,13.069859531471868,0.0,13.069859531471868,OMA,0.7873409356308355
29,-1,3.073318903395168e-05,0.0,1.0,0.0,14.907556797525837,0.0,14.907556797525837,OMA,0.8980455902123998
30,-1,8.539139379416741e-06,0.0,1.0,0.0,13.06004390021657,0.0,13.06004390021657,OMA,0.7867496325431669
31,-1,8.676966766193077e-06,0.0,1.0,0.0,13.083141345771773,0.0,13.083141345771773,OMA,0.7881410449260104
34,-1,4.099931296943858e-05,0.0,1.0,0.0,15.323347301907821,0.0,15.323347301907821,OMA,0.9230932109583024
36,-1,5.657246202239731e-06,0.0,1.0,0.0,12.466139237469523,0.0,12.466139237469523,OMA,0.7509722432210556
41,-1,5.465861074588175e-06,0.0,1.0,0.0,12.416496998493104,0.0,12.416496998493104,OMA,0.747981746897175
42,-1,6.459754371107369e-06,0.0,1.0,0.0,12.6574869114877,0.0,12.6574869114877,OMA,0.7624992115354037
45,-1,5.401645085508776e-06,0.0,1.0,0.0,12.399450195168152,0.0,12.399450195168152,OMA,0.746954831034226
46,-1,7.195895153096625e-06,0.0,1.0,0.0,12.813158925478206,0.0,12.813158925478206,OMA,0.7718770437035064
49,-1,5.250989673059685e-05,0.0,1.0,0.0,15.680329212384496,0.0,15.680329212384496,OMA,0.9445981453243673
52,-1,7.013600456218887e-06,0.0,1.0,0.0,12.776145216554669,0.0,12.776145216554669,OMA,0.7696473022020885
54,-1,6.683255543792834e-06,0.0,1.0,0.0,12.706551174362096,0.0,12.706551174362096,OMA,0.765454890021813
55,-1,4.5750459241793994e-05,0.0,1.0,0.0,15.481530138406807,0.0,15.481530138406807,OMA,0.932622297494386
56,-1,5.057197039689623e-05,0.0,1.0,0.0,15.626078897010467,0.0,15.626078897010467,OMA,0.9413300540367752
59,-1,5.043730733429858e-05,0.0,1.0,0.0,15.622232240437855,0.0,15.622232240437855,OMA,0.9410983277372202
60,-1,4.944852245449225e-05,0.0,1.0,0.0,15.593668968160479,0.0,15.593668968160479,OMA,0.9393776486843662
63,-1,4.882318540174009e-06,0.0,1.0,0.0,12.253646173090166,0.0,12.253646173090166,OMA,0.7381714562102509
64,-1,6.890419029887046e-05,0.0,1.0,0.0,16.072325037898693,0.0,16.072325037898693,OMA,0.9682123516806442
65,-1,7.61763692747087e-06,0.0,1.0,0.0,12.895317188695172,0.0,12.895317188695172,OMA,0.7768263366683837
66,-1,5.616843737704285e-05,0.0,1.0,0.0,15.777497731737553,0.0,15.777497731737553,OMA,0.9504516705865996
68,-1,3.8516900064970324e-05,0.0,1.0,0.0,15.233241431421487,0.0,15.233241431421487,OMA,0.9176651464711738
76,-1,6.478507530294522e-06,0.0,1.0,0.0,12.661668451074291,0.0,12.661668451074291,OMA,0.7627511115104995
78,-1,5.2837830407463195e-06,0.0,1.0,0.0,12.36762852969213,0.0,12.36762852969213,OMA,0.7450378632344657
79,-1,6.273436703058389e-06,0.0,1.0,0.0,12.615270229433504,0.0,12.615270229433504,OMA,0.759956037917681
85,-1,3.540613762411988e-05,0.0,1.0,0.0,15.111752597963328,0.0,15.111752597963328,OMA,0.9103465420459836
87,-1,3.84157600581189e-05,0.0,1.0,0.0,15.229448231577763,0.0,15.229448231577763,OMA,0.9174366404564918
99,-1,5.364421531183246e-05,0.0,1.0,0.0,15.711161880378043,0.0,15.711161880378043,OMA,0.9464555349625327
100,-1,8.074871165875397e-06,0.0,1.0,0.0,12.979402180245387,0.0,12.979402180245387,OMA,0.7818916976051438
102,-1,5.203111197652707e-05,0.0,1.0,0.0,15.667114646852982,0.0,15.667114646852982,OMA,0.9438020871598182
108,-1,8.284451079219449e-06,0.0,1.0,0.0,13.016364527919064,0.0,13.016364527919064,OMA,0.7841183450553654
113,-1,3.4606393362083866e-05,0.0,1.0,0.0,15.07879266097724,0.0,15.07879266097724,OMA,0.9083610036733276
116,-1,8.402634277000439e-06,0.0,1.0,0.0,13.036797662494239,0.0,13.036797662494239,OMA,0.7853492567767614
119,-1,4.0449748660009704e-05,0.0,1.0,0.0,15.30387878376436,0.0,15.30387878376436,OMA,0.9219204086605036
126,-1,4.135516323716616e-05,0.0,1.0,0.0,15.335814727304097,0.0,15.335814727304097,OMA,0.9238442606809697
130,-1,5.014663825239114e-06,0.0,1.0,0.0,12.2922249394381,0.0,12.2922249394381,OMA,0.7404954782794037
131,-1,3.174664152630195e-05,0.0,1.0,0.0,14.954361800262914,0.0,14.954361800262914,OMA,0.900865168690537
132,-1,3.736235005494694e-05,0.0,1.0,0.0,15.18933619463397,0.0,15.18933619463397,OMA,0.9150202526887934
133,-1,8.930555458439909e-06,0.0,1.0,0.0,13.124695731762433,0.0,13.124695731762433,OMA,0.790644321190508
135,-1,4.6578678009357805e-05,0.0,1.0,0.0,15.507413046236307,0.0,15.507413046236307,OMA,0.9341815088094161
137,-1,4.3655898412814515e-05,0.0,1.0,0.0,15.413922017816832,0.0,15.413922017816832,OMA,0.9285495191455924
