Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
balanced,298.892657441025,152,196,15.960728678530879,14.156640205801738,60.8
bipartite_pf,311.76296648284415,231,38,15.825152430930332,14.14741283287755,92.4
blossom,310.5313539207169,231,38,15.87036646485763,13.436633075040262,92.4
static,299.21560070811665,116,268,16.6908927006557,14.211925299700669,46.400000000000006
