User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,Throughput_Mbps
325,40,5.588065137711054e-06,3.68991733749161e-05,0.8684766218437499,0.13152337815625006,2.9249053663360343,12.244989283686005,15.169894650022039,NOMA,1.1278732081800773
153,329,1.339086162376237e-05,8.506385904669594e-05,0.8639896438426405,0.1360103561573594,2.877527414001899,13.49817178906757,16.37569920306947,NOMA,1.2175241043174327
57,484,1.0180652385489894e-05,6.42365747237985e-05,0.8631949512101722,0.1368050487898278,2.868912845401761,13.101464884080729,15.97037772948249,NOMA,1.1873886787719323
244,118,2.366269675806089e-06,2.5568061653100688e-05,0.915291701528669,0.08470829847133106,3.5547827926118,11.081368256129823,14.636151048741622,NOMA,1.088189669051422
2,88,2.705305374119233e-06,2.7872224685734665e-05,0.9115263604083215,0.08847363959167863,3.493126659285366,11.268516948220643,14.76164360750601,NOMA,1.0975199708182908
192,206,1.1370319302926643e-05,7.303822981030715e-05,0.8652942217064602,0.13470577829353989,2.891301618174643,13.264394449737054,16.1556960679117,NOMA,1.2011669938967806
485,151,8.24953365665232e-06,5.3197408734632375e-05,0.8657454165234039,0.13425458347659602,2.895829596252993,12.802313588343349,15.698143184596342,NOMA,1.1671481921632967
163,381,1.5154962703239674e-05,0.00012465329267414665,0.8916018037537792,0.10839819624622077,3.204804596352863,13.722080887444136,16.926885483796998,NOMA,1.25850449693658
218,119,9.312785273151997e-06,5.986411426752099e-05,0.8653772381389182,0.13462276186108177,2.8920103630061846,12.976577082385212,15.868587445391396,NOMA,1.179820627910141
483,49,1.3615872976915122e-05,8.6252167608048e-05,0.8636613585571316,0.13633864144286845,2.8740625853504396,13.521662188839498,16.395724774189937,NOMA,1.2190129943635641
339,432,2.6316859451621393e-06,2.7461732867964137e-05,0.9125494527057776,0.08745054729422232,3.5096817476724103,11.230346878466477,14.740028626138887,NOMA,1.0959129090066089
464,133,2.8131999198350197e-06,2.8433774227456252e-05,0.9099688850967065,0.09003111490329342,3.4682603106369596,11.322448945978385,14.790709256615344,NOMA,1.0996809856219587
473,12,6.827397588185229e-06,4.464874077137583e-05,0.8673677201561658,0.1326322798438342,2.9131151296914988,12.532079312571728,15.445194442263226,NOMA,1.1483415942203141
135,236,1.6450789259674116e-05,0.00016962229685811036,0.9115896360784774,0.08841036392152246,3.498736787638091,13.872421808829657,17.371158596467748,NOMA,1.2915359551277137
255,222,1.0374013194123468e-05,6.560845738001883e-05,0.8634683353182009,0.13653166468179917,2.8718133550910707,13.129062715937534,16.000876071028607,NOMA,1.189656213459376
238,474,1.7586045446285824e-05,0.00019683902001318504,0.9179851226413182,0.08201487735868182,3.6070526726479093,13.978775522415633,17.58582819506354,NOMA,1.3074965200790738
273,156,6.364674042943101e-06,4.150888468319554e-05,0.867052414478892,0.13294758552110797,2.9095932049434783,12.430323434170283,15.339916639113762,NOMA,1.1405142482612463
317,254,9.444284826135836e-06,5.9913287543710915e-05,0.8638319580193128,0.1361680419806871,2.8755712938323543,12.99422525999003,15.869796553822384,NOMA,1.179910524447761
188,455,2.0853431602605584e-06,2.4371503126157064e-05,0.921179450578313,0.07882054942168708,3.6572254050124604,10.908374055252892,14.565599460265354,NOMA,1.0829441977892458
64,410,2.0769205037319164e-06,2.4184936216286344e-05,0.9209149404067546,0.07908505959324541,3.6523887602287015,10.902124182764116,14.554512942992817,NOMA,1.0821199214121053
